,1,weights_1
0,True,+inf
1,v₁ → v₂,0.3461782791333895
2,v₁ → v₃,1.3068301897656438
3,v₁ → v₄,-0.5767368287155339
4,v₁ → v₅,-0.36379241170759635
5,v₁ → v₆,-0.08701137698962981
6,v₁ → v₇,1.1114494354287905
7,v₁ → v₈,1.1641665539255164
8,v₁ → v₉,0.8342257788198509
9,v₁ → v₁₀,0.009216655104924048
10,v₁ → v₁₁,0.009216655104924048
11,v₁ → v₁₂,-0.5668885472645024
12,v₁ → v₁₃,-0.30010459245033816
13,v₁ → v₁₄,-0.1564301428612131
14,v₁ → v₁₅,0.3021123372808097
15,v₁ → v₁₆,2.463853240590168
16,(v₁ ∧ v₂) → v₁,+inf
17,(v₁ ∧ v₂) → v₂,+inf
18,(v₁ ∧ v₂) → v₃,0.8513711857748395
19,(v₁ ∧ v₂) → v₄,-0.588107743729729
20,(v₁ ∧ v₂) → v₅,-0.3933211008533655
21,(v₁ ∧ v₂) → v₆,-0.15146611445658933
22,(v₁ ∧ v₂) → v₇,0.5540343780972274
23,(v₁ ∧ v₂) → v₈,0.7695201593445192
24,(v₁ ∧ v₂) → v₉,0.31686869353831276
25,(v₁ ∧ v₂) → v₁₀,-0.32817343380651787
26,(v₁ ∧ v₂) → v₁₁,0.029218545999140005
27,(v₁ ∧ v₂) → v₁₂,-0.6299682789384137
28,(v₁ ∧ v₂) → v₁₃,-0.22476824704121168
29,(v₁ ∧ v₂) → v₁₄,-0.29450803752218074
30,(v₁ ∧ v₂) → v₁₅,-0.013072081567352775
31,(v₁ ∧ v₂) → v₁₆,2.031432322493475
32,(v₁ ∧ v₃) → v₁,+inf
33,(v₁ ∧ v₃) → v₂,-0.32817343380651787
34,(v₁ ∧ v₃) → v₃,+inf
35,(v₁ ∧ v₃) → v₄,-1.2938646441809198
36,(v₁ ∧ v₃) → v₅,-1.1258322599021975
37,(v₁ ∧ v₃) → v₆,-0.8257253751330758
38,(v₁ ∧ v₃) → v₇,0.9864949905474035
39,(v₁ ∧ v₃) → v₈,1.3862943611198906
40,(v₁ ∧ v₃) → v₉,0.7306985262120778
41,(v₁ ∧ v₃) → v₁₀,-0.588107743729729
42,(v₁ ∧ v₃) → v₁₁,-0.5739221835866606
43,(v₁ ∧ v₃) → v₁₂,-1.252762968495368
44,(v₁ ∧ v₃) → v₁₃,-1.0150913166182485
45,(v₁ ∧ v₃) → v₁₄,-0.9576929996436975
46,(v₁ ∧ v₃) → v₁₅,-0.07410797215372185
47,(v₁ ∧ v₃) → v₁₆,3.4316803983872313
48,(v₁ ∧ v₄) → v₁,+inf
49,(v₁ ∧ v₄) → v₂,1.8035939268750578
50,(v₁ ∧ v₄) → v₃,0.9396189843650634
51,(v₁ ∧ v₄) → v₄,+inf
52,(v₁ ∧ v₄) → v₅,3.0239031505206873
53,(v₁ ∧ v₄) → v₆,2.16730289747117
54,(v₁ ∧ v₄) → v₇,1.1403361320395096
55,(v₁ ∧ v₄) → v₈,0.9396189843650634
56,(v₁ ∧ v₄) → v₉,0.7306985262120778
57,(v₁ ∧ v₄) → v₁₀,1.319372048627043
58,(v₁ ∧ v₄) → v₁₁,0.9396189843650634
59,(v₁ ∧ v₄) → v₁₂,1.5341458075191619
60,(v₁ ∧ v₄) → v₁₃,2.16730289747117
61,(v₁ ∧ v₄) → v₁₄,4.127134385045092
62,(v₁ ∧ v₄) → v₁₅,0.6567795363890705
63,(v₁ ∧ v₄) → v₁₆,2.031432322493475
64,(v₁ ∧ v₅) → v₁,+inf
65,(v₁ ∧ v₅) → v₂,1.1968043148473233
66,(v₁ ∧ v₅) → v₃,0.7306985262120778
67,(v₁ ∧ v₅) → v₄,0.8946292350929758
68,(v₁ ∧ v₅) → v₅,+inf
69,(v₁ ∧ v₅) → v₆,2.5084371471981943
70,(v₁ ∧ v₅) → v₇,0.490206336563255
71,(v₁ ∧ v₅) → v₈,0.4004399719054913
72,(v₁ ∧ v₅) → v₉,0.29022984453057965
73,(v₁ ∧ v₅) → v₁₀,0.7695201593445192
74,(v₁ ∧ v₅) → v₁₁,0.7306985262120778
75,(v₁ ∧ v₅) → v₁₂,0.6215175244206905
76,(v₁ ∧ v₅) → v₁₃,1.4576653550118095
77,(v₁ ∧ v₅) → v₁₄,2.3237873006446486
78,(v₁ ∧ v₅) → v₁₅,0.2641515750415869
79,(v₁ ∧ v₅) → v₁₆,1.705928033378274
80,(v₁ ∧ v₆) → v₁,+inf
81,(v₁ ∧ v₆) → v₂,0.6931471805599453
82,(v₁ ∧ v₆) → v₃,0.7695201593445192
83,(v₁ ∧ v₆) → v₄,0.029218545999140005
84,(v₁ ∧ v₆) → v₅,0.6567795363890705
85,(v₁ ∧ v₆) → v₆,+inf
86,(v₁ ∧ v₆) → v₇,0.42962394358489997
87,(v₁ ∧ v₆) → v₈,0.45953232937844013
88,(v₁ ∧ v₆) → v₉,0.189027798074038
89,(v₁ ∧ v₆) → v₁₀,0.490206336563255
90,(v₁ ∧ v₆) → v₁₁,0.42962394358489997
91,(v₁ ∧ v₆) → v₁₂,0.09531017980432493
92,(v₁ ∧ v₆) → v₁₃,0.6215175244206905
93,(v₁ ∧ v₆) → v₁₄,0.9864949905474035
94,(v₁ ∧ v₆) → v₁₅,-0.013072081567352775
95,(v₁ ∧ v₆) → v₁₆,1.705928033378274
96,(v₁ ∧ v₇) → v₁,+inf
97,(v₁ ∧ v₇) → v₂,-0.34472537837793343
98,(v₁ ∧ v₇) → v₃,1.3862943611198906
99,(v₁ ∧ v₇) → v₄,-1.1794316954098183
100,(v₁ ∧ v₇) → v₅,-1.1258322599021975
101,(v₁ ∧ v₇) → v₆,-0.8625653325179921
102,(v₁ ∧ v₇) → v₇,+inf
103,(v₁ ∧ v₇) → v₈,1.5341458075191619
104,(v₁ ∧ v₇) → v₉,0.8946292350929758
105,(v₁ ∧ v₇) → v₁₀,-0.5306282510621704
106,(v₁ ∧ v₇) → v₁₁,-0.6299682789384137
107,(v₁ ∧ v₇) → v₁₂,-1.136639684257349
108,(v₁ ∧ v₇) → v₁₃,-1.0150913166182485
109,(v₁ ∧ v₇) → v₁₄,-0.8746968345753181
110,(v₁ ∧ v₇) → v₁₅,0.007905179507113247
111,(v₁ ∧ v₇) → v₁₆,3.4316803983872313
112,(v₁ ∧ v₈) → v₁,+inf
113,(v₁ ∧ v₈) → v₂,-0.27738332025120643
114,(v₁ ∧ v₈) → v₃,1.8035939268750578
115,(v₁ ∧ v₈) → v₄,-1.2424001814598216
116,(v₁ ∧ v₈) → v₅,-1.1794316954098183
117,(v₁ ∧ v₈) → v₆,-0.8746968345753181
118,(v₁ ∧ v₈) → v₇,1.3862943611198906
119,(v₁ ∧ v₈) → v₈,+inf
120,(v₁ ∧ v₈) → v₉,0.9864949905474035
121,(v₁ ∧ v₈) → v₁₀,-0.5451855231063939
122,(v₁ ∧ v₈) → v₁₁,-0.5739221835866606
123,(v₁ ∧ v₈) → v₁₂,-1.1900246278619446
124,(v₁ ∧ v₈) → v₁₃,-1.0488507791090458
125,(v₁ ∧ v₈) → v₁₄,-0.9576929996436975
126,(v₁ ∧ v₈) → v₁₅,0.05088112154390537
127,(v₁ ∧ v₈) → v₁₆,4.127134385045092
128,(v₁ ∧ v₉) → v₁,+inf
129,(v₁ ∧ v₉) → v₂,-0.27738332025120643
130,(v₁ ∧ v₉) → v₃,1.9113046198778376
131,(v₁ ∧ v₉) → v₄,-1.1474024528375417
132,(v₁ ∧ v₉) → v₅,-1.0710926653877333
133,(v₁ ∧ v₉) → v₆,-0.8257253751330758
134,(v₁ ∧ v₉) → v₇,1.6165553802029644
